uniqu.name.id,group.nd.name,variants_count,variants_joined,collab_n,collab_start_week,collab_end_week
67,NCT 성찬,4,NCT 성찬 | 성찬 NCT | 성찬 엔시티 | 엔시티 성찬,1,2024-W37,2024-W39
68,NCT 시온,4,NCT 시온 | 시온 NCT | 시온 엔시티 | 엔시티 시온,1,2024-W13,2024-W21
68,NCT 시온,4,NCT 시온 | 시온 NCT | 시온 엔시티 | 엔시티 시온,2,2025-W35,2025-W43
69,NCT 양양,4,NCT 양양 | 양양 NCT | 양양 엔시티 | 엔시티 양양,1,2024-W31,2024-W39
70,NCT 원빈,4,NCT 원빈 | 엔시티 원빈 | 원빈 NCT | 원빈 엔시티,1,2024-W37,2024-W39
71,NCT 유우시,4,NCT 유우시 | 엔시티 유우시 | 유우시 NCT | 유우시 엔시티,1,2024-W13,2024-W21
71,NCT 유우시,4,NCT 유우시 | 엔시티 유우시 | 유우시 NCT | 유우시 엔시티,2,2025-W35,2025-W43
72,NCT 유타,4,NCT 유타 | 엔시티 유타 | 유타 NCT | 유타 엔시티,1,2024-W04,2024-W13
72,NCT 유타,4,NCT 유타 | 엔시티 유타 | 유타 NCT | 유타 엔시티,2,2024-W30,2024-W39
73,NCT 재민,4,NCT 재민 | 엔시티 재민 | 재민 NCT | 재민 엔시티,1,2024-W17,2024-W21
73,NCT 재민,4,NCT 재민 | 엔시티 재민 | 재민 NCT | 재민 엔시티,2,2024-W45,2025-W08
73,NCT 재민,4,NCT 재민 | 엔시티 재민 | 재민 NCT | 재민 엔시티,3,2025-W30,2025-W39
74,NCT 재현,4,NCT 재현 | 엔시티 재현 | 재현 NCT | 재현 엔시티,1,2024-W04,2024-W13
74,NCT 재현,4,NCT 재현 | 엔시티 재현 | 재현 NCT | 재현 엔시티,2,2024-W30,2024-W39
75,NCT 재희,4,NCT 재희 | 엔시티 재희 | 재희 NCT | 재희 엔시티,1,2024-W13,2024-W21
75,NCT 재희,4,NCT 재희 | 엔시티 재희 | 재희 NCT | 재희 엔시티,2,2025-W35,2025-W43
